PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,production,all entries are scaled for 1 kg of H2,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,
Nafion cast membrane construction,1.48E-05,lci-all,GLO,kilogram,technosphere,,Nafion cast membrane construction,,,,
"aluminium production, primary, ingot",0.000025,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,"aluminium, primary, ingot",,,,
"aluminium production, primary, ingot",3.17E-08,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,"aluminium, primary, ingot",,,,
gasket construction for 1 kg of PEMWE cell stack,0.000113,lci-all,GLO,kilogram,technosphere,,gasket construction for 1 kg of PEMWE cell stack,,,,
"market for activated carbon, granular",8.33E-06,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,"activated carbon, granular",,,,
market for concrete block,5.19E-06,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,concrete block,,,,
market for copper oxide,4.17E-06,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,copper oxide,,,,
market for copper oxide,3.17E-08,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,copper oxide,,,,
"market for electronics, for control units",1.02E-06,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,"electronics, for control units",,,,
market for lubricating oil,1.85E-07,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,lubricating oil,,,,
market for plaster mixing,2.78E-07,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,plaster mixing,,,,
"market for steel, low-alloyed",2.12E-06,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,"steel, low-alloyed",,,,
"steel production, converter, unalloyed",9.26E-05,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,"steel, unalloyed",,,,
titanium production,0.000488889,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,titanium,,,,
,,,,,,,,,,,
Activity,PTFE for nafion membrane construction,,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,0.1,,,,,,,,,,
reference product,PTFE for nafion membrane construction,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,comment,reference product,,,,
PTFE for nafion membrane construction,0.1,lci-all,GLO,kilogram,production,,PTFE for nafion membrane construction,,,,
ammonium sulfate production,0.0057,ecoinvent3.8_cutoff,RER,kilogram,technosphere,,ammonium sulfate,,,,
market for boric oxide,0.0000426,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,,boric oxide,,,,
"market for water, deionised",0.003,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,,"water, deionised",,,,
tetrafluoroethylene production,0.097,ecoinvent3.8_cutoff,RER,kilogram,technosphere,,tetrafluoroethylene,,,,
,,,,,,,,,,,
Activity,gasket construction for 1 kg of PEMWE cell stack,,,,,,,,,,
comment,"Taken from Evangelisti et al.: ""Life cycle assessment of a polymer electrolyte membrane fuel cell system for passenger vehicles""",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,gasket construction for 1 kg of PEMWE cell stack,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,categories,type,comment,reference product,,,
gasket construction for 1 kg of PEMWE cell stack,1,lci-all,GLO,kilogram,,production,,gasket construction for 1 kg of PEMWE cell stack,,,
"acetic anhydride production, ketene route",0.0528,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,acetic anhydride,,,
market for acrylonitrile-butadiene-styrene copolymer,0.156,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,acrylonitrile-butadiene-styrene copolymer,,,
market for aniline,0.0479,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,aniline,,,
market for graphite,0.421,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,graphite,,,
"market for hydrochloric acid, without water, in 30% solution state",0.127,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"hydrochloric acid, without water, in 30% solution state",,,
market for lubricating oil,0.000469,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,lubricating oil,,,
"market for nitric acid, without water, in 50% solution state",0.0323,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"nitric acid, without water, in 50% solution state",,,
market for purified terephthalic acid,0.0861,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,purified terephthalic acid,,,
tetrafluoroethylene production,0.85,ecoinvent3.8_cutoff,RER,kilogram,,technosphere,,tetrafluoroethylene,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with electricity mix, included PEM electrolyser construction",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with electricity mix, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
"market group for electricity, low voltage",55,ecoinvent3.8_cutoff,GLO,kilowatt hour,technosphere,"electricity, low voltage",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with hydro, pumped storage, included PEM electrolyser construction",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with hydro, pumped storage, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, hydro, pumped storage",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with hydro, reservoir, alpine region, included PEM electrolyser construction",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with hydro, reservoir, alpine region, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, hydro, reservoir, alpine region",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with hydro, reservoir, non-alpine region, included PEM electrolyser construction",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with hydro, reservoir, non-alpine region, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, hydro, reservoir, non-alpine region",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with hydro, run-of-river, included PEM electrolyser construction",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with hydro, run-of-river, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, hydro, run-of-river",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with nuclear, pressure water reactor, included PEM electrolyser construction",,,,,,,,,,
comment,"
",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with nuclear, pressure water reactor, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, nuclear, pressure water reactor",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with solar, included PEM electrolyser construction",,,,,,,,,,
comment,Hydrogen supplied at 25 bar. Extra compression is included for storage to cover the intermittency. ,,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with solar, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, photovoltaic, 570kWp open ground installation, multi-Si",55,ecoinvent3.8_cutoff,US-SERC,kilowatt hour,technosphere,"electricity, low voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with wind, 1-3MW turbine, onshore, included PEM electrolyser construction",,,,,,,,,,
comment,Hydrogen supplied at 25 bar. Extra compression is included for storage to cover the intermittency. ,,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with wind, 1-3MW turbine, onshore, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, wind, 1-3MW turbine, onshore",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with wind, 1-3MW turbine, offshore, included PEM electrolyser construction",,,,,,,,,,
comment,Hydrogen supplied at 25 bar. Extra compression is included for storage to cover the intermittency. ,,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with wind, 1-3MW turbine, offshore, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, wind, 1-3MW turbine, offshore",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, PEM electrolysis powered with wind, >3MW turbine, onshore, included PEM electrolyser construction",,,,,,,,,,
comment,Hydrogen supplied at 25 bar. Extra compression is included for storage to cover the intermittency. ,,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
"hydrogen production, PEM electrolysis powered with wind, >3MW turbine, onshore, included PEM electrolyser construction",1,lci-all,GLO,kilogram,production,"Hydrogen, gaseous, 25 bar",,,,,
PEM Electrolyser construction for the production of hydrogen,1,lci-all,GLO,kilogram,technosphere,PEM Electrolyser construction for the production of 1 kg electrolytic hydrogen,,,,,
"electricity production, wind, >3MW turbine, onshore",55,ecoinvent3.8_cutoff,RoW,kilowatt hour,technosphere,"electricity, high voltage",,,,,
"market for water, deionised",11,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,"water, deionised",,,,,
,,,,,,,,,,,
Activity,"hydrogen production, from wet poplar biomass with carbon capture and storage (CCS)",,,,,,,,,,
comment,"Wet poplar (50%) was selected as the feedstock of the gasification process due to the increasing interest in the production of second-generation biofuels from short-rotation plantation, which can be grown with little input and in relatively small areas. 
Low pressure indirect gasification and tar reforming, consisting of two fluidized bed reactor. 
Carbon capture is performed via PSA and membrane separation.
Data are taken from: Susmozas et al. 2016 and Susmozas et al. 2013. (DOI: 10.1016/j.ijhydene.2016.02.053)",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,"Hydrogen, gaseous, 25 bar",,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,categories,type,comment,reference product,,,
"Carbon dioxide, from soil or biomass stock",-33.5,biosphere3,,kilogram,air,biosphere,CO2 embodied in wet poplar,,,,
"Carbon dioxide, from soil or biomass stock",12.7,biosphere3,,kilogram,air,biosphere,pre-treatment and gasification,,,,
"Carbon dioxide, from soil or biomass stock",4.07,biosphere3,,kilogram,air,biosphere,capture,,,,
Nitrogen oxides,0.0000542,biosphere3,,kilogram,air,biosphere,,,,,
Nitrogen oxides,0.00769,biosphere3,,kilogram,air,biosphere,,,,,
"hydrogen production, from wet poplar biomass with carbon capture and storage (CCS)",1,lci-all,GLO,kilogram,,production,,"Hydrogen, gaseous, 25 bar",,,
"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",16.9,lci-all,GLO,kilogram,,technosphere,,"CO2 stored in aquifer at 200 km distance from emission source and transported by pipeline",,,
market for copper oxide,0.0000198,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,copper oxide,,,
market for hard coal ash,-0.495,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,hard coal ash,,,
market for iron-nickel-chromium alloy,0.0000582,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,iron-nickel-chromium alloy,,,
market for magnesium oxide,0.000698,ecoinvent3.8_cutoff,GLO,kilogram,,technosphere,,magnesium oxide,,,
"market for water, decarbonised",48,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,"water, decarbonised",,,
"market group for electricity, low voltage",3.74,ecoinvent3.8_cutoff,GLO,kilowatt hour,,technosphere,,"electricity, low voltage",,,
"market group for transport, freight, lorry, unspecified",2.93,ecoinvent3.8_cutoff,GLO,ton kilometer,,technosphere,,"transport, freight, lorry, unspecified",,,
"treatment of spent catalyst base from ethyleneoxide production, residual material landfill",-0.00606,ecoinvent3.8_cutoff,RoW,kilogram,,technosphere,,spent catalyst base from ethyleneoxide production,,,
treatment of wastewater from vegetable oil refinery,-0.00446,ecoinvent3.8_cutoff,GLO,cubic meter,,technosphere,,wastewater from vegetable oil refinery,,,
wet poplar biomass,36.3,lci-all,GLO,kilogram,,technosphere,,wet poplar biomass,,,
"transport, freight, lorry, unspecified, long haul", 0.25,ecoinvent3.8_cutoff,GLO,ton kilometer,,technosphere,,transport, freight, lorry,,,
"transport, freight, lorry, unspecified, regional delivery", 0.25,ecoinvent3.8_cutoff,GLO,ton kilometer,,technosphere,,transport, freight, lorry,,,
,,,,,,,,,,,
Activity,wet poplar biomass,,,,,,,,,,
comment,"Taken from Gasol (2009). 
DOI: 10.1016/j.biombioe.2008.04.020

The carbon content is 50.29%
The amount of CO2 absorbed during biomass growth are substructed in the activity that uses the biomass, thus the CO2 in the biomass will be emitted. 

",,,,,,,,,,
location,GLO,,,,,,,,,,
production amount,1,,,,,,,,,,
reference product,wet poplar biomass,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,type,reference product,,,,,
wet poplar biomass,1,lci-all,GLO,kilogram,production,wet poplar biomass,,,,,
market for [thio]carbamate-compound,0.0000071,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,[thio]carbamate-compound,,,,,
market for ammonium nitrate,0.001285,ecoinvent3.8_cutoff,RoW,kilogram,technosphere,ammonium nitrate,,,,,
market for glyphosate,0.000004635,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,glyphosate,,,,,
"market group for diesel, low-sulfur",0.001765,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,"diesel, low-sulfur",,,,,
nutrient supply from compost,0.00078,ecoinvent3.8_cutoff,GLO,kilogram,technosphere,"organic phosphorus fertiliser, as P2O5",,,,,
,,,,,,,,,,,
Activity,"diesel production,--carbon dioxide, 1 bar, from direct air capture (DAC)--hydrogen production, PEM electrolysis powered with electricity mix, included PEM electrolyser construction",,,,,,,,,,
comment,"Here we performed energy allocation!
Taken from Medrano-García, J. D.; Charalambous, M. A.; Guillén-Gosálbez, G. Economic and Environmental Barriers of CO2-Based Fischer–Tropsch Electro-Diesel. ACS Sustain. Chem. Eng. 2022, 10 (36), 11751–11759. https://doi.org/10.1021/acssuschemeng.2c01983
Energy allocation
Diesel = 0.39590239
Gasoline = 0.351679186
Kerosene = 0.252418424",,,,,,,,,,
location,GLO,,,,,,,,,,
reference product,diesel production,,,,,,,,,,
type,process,,,,,,,,,,
unit,kilogram,,,,,,,,,,
Exchanges,,,,,,,,,,,
name,amount,database,location,unit,categories,type,reference product,,,,
Butane,0.00000655,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,
"Carbon dioxide, fossil",0.004082,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,
"Carbon monoxide, fossil",8.61E-08,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,
"Cobalt, in ground",0.00000501,biosphere3,,kilogram,natural resource::in ground,biosphere,,,,,
Methane,0.00000011,biosphere3,,kilogram,air::urban air close to ground,biosphere,,,,,
"Nickel, in ground",0.000000193,biosphere3,,kilogram,natural resource::in ground,biosphere,,,,,
"Platinum, in ground",1.62E-08,biosphere3,,kilogram,natural resource::in ground,biosphere,,,,,
Propane,0.00000231,biosphere3,,kilogram,air::non-urban air or from high stacks,biosphere,,,,,
"Water, cooling, unspecified natural origin",0.555046,biosphere3,,cubic meter,natural resource::in water,biosphere,,,,,
"diesel production,--carbon dioxide, 1 bar, from direct air capture (DAC)--hydrogen production, PEM electrolysis powered with electricity mix, included PEM electrolyser construction",1,lci-all,GLO,kilogram,,production,diesel production,,,,
Cooling Water 20-25,30.7951,lci-all,GLO,megajoule,,technosphere,Cooling Water 20-25,,,,
aluminium oxide production,0.00000174,ecoinvent3.8_cutoff,"IAI Area, EU27 & EFTA",kilogram,,technosphere,"aluminium oxide, metallurgical",,,,
